id,listing_url,host_response_rate,host_acceptance_rate,host_picture_url,street,neighbourhood_cleansed,latitude,longtitude,property_type,room_type,accomodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,extra_people,number_of_reviews,review_scores_rating,cancellation_policy,wireless_internet,smoke_detector,air_conditioning,heating,cable_tv,washer,dryer,family_kid_friendly,kitchen,free_parking,carbon_monoxide,pets_allowed,essentials,checkin_24hr,lock_on_bedroom_door,pool,hair_dryer,gym,wheelchair_accessible,iron,shampoo,hangers,first_aid_kit,elevator,comments
7450348,https://www.airbnb.com/rooms/7450348,0,0,https://a2.muscache.com/defaults/user_pic-225x225.png?v=2,"North Margin Street, Boston, MA 02113, United States",North End,42.3644482,-71.05756044,Apartment,Entire home/apt,2,1,2,2,Real Bed,200,0,0,0,0,0,flexible,1,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
5026613,https://www.airbnb.com/rooms/5026613,100,81,https://a1.muscache.com/im/users/20060949/profile_pic/1420995338/original.jpg?aki_policy=profile_x_medium,"Bolton Street, Boston, MA 02127, United States",South Boston,42.33750282,-71.04778102,House,Private room,2,1,1,1,Real Bed,105,0,35,20,58,96,moderate,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Warm and cozy room in a great location! Jesse couldn't have been nicer. 
14760011,https://www.airbnb.com/rooms/14760011,0,0,https://a2.muscache.com/im/pictures/33665a9b-725a-4b51-8c67-47f82e0e9ba0.jpg?aki_policy=profile_x_medium,"Commonwealth Avenue, Boston, MA 02135, United States",Brighton,42.34614527,-71.14125656,Apartment,Entire home/apt,2,1,1,1,Real Bed,112,0,0,0,0,0,flexible,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
14826101,https://www.airbnb.com/rooms/14826101,0,0,https://a2.muscache.com/im/pictures/aa1dd302-a493-4d91-a581-44850e76b64f.jpg?aki_policy=profile_x_medium,"Topliff Street, Boston, MA 02122, United States",Dorchester,42.30300097,-71.06710708,Apartment,Private room,3,1,1,2,Real Bed,100,0,5,60,0,0,moderate,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,
13565183,https://www.airbnb.com/rooms/13565183,100,94,https://a0.muscache.com/im/users/16186589/profile_pic/1443582037/original.jpg?aki_policy=profile_x_medium,"Stockton Street, Boston, MA 02124, United States",Dorchester,42.2826962,-71.07304305,Apartment,Private room,1,1,1,1,Airbed,31,500,50,0,0,0,moderate,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
14822424,https://www.airbnb.com/rooms/14822424,100,100,https://a1.muscache.com/im/users/18776251/profile_pic/1406176818/original.jpg?aki_policy=profile_x_medium,"Beacon Street, Boston, MA 02116, United States",Back Bay,42.35257974,-71.07879094,Condominium,Entire home/apt,4,1,1,1,Real Bed,200,0,115,50,0,0,strict,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,
12102482,https://www.airbnb.com/rooms/12102482,98,55,https://a2.muscache.com/im/users/30283594/profile_pic/1427748834/original.jpg?aki_policy=profile_x_medium,"Saint Alphonsus Street, Boston, MA 02120, United States",Mission Hill,42.33517884,-71.10149179,Apartment,Entire home/apt,3,1,1,1,Real Bed,169,0,100,0,0,0,strict,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,
7389719,https://www.airbnb.com/rooms/7389719,100,95,https://a2.muscache.com/im/pictures/22bd6d56-fc7c-44a1-8eeb-960be2167399.jpg?aki_policy=profile_x_medium,"Balsam St, Dorchester, MA 02124, United States",Dorchester,42.28632627,-71.09002339,House,Private room,5,2,1,1,Real Bed,40,0,15,0,0,0,moderate,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,
1242798,https://www.airbnb.com/rooms/1242798,0,0,https://a1.muscache.com/im/users/1934182/profile_pic/1331914885/original.jpg?aki_policy=profile_x_medium,"Brookline Avenue, Boston, MA 02215, United States",Fenway,42.34496493,-71.09922517,Apartment,Entire home/apt,2,1,1,1,Real Bed,135,0,45,0,0,0,flexible,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
14614422,https://www.airbnb.com/rooms/14614422,100,100,https://a2.muscache.com/im/pictures/0f1c80aa-8a62-47ff-9cfa-d2d272cef23d.jpg?aki_policy=profile_x_medium,"Commonwealth Avenue, Boston, MA 02135, United States",Brighton,42.34310788,-71.14346609,Apartment,Entire home/apt,3,1,1,1,Real Bed,165,0,0,0,0,0,flexible,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
7531700,https://www.airbnb.com/rooms/7531700,100,91,https://a0.muscache.com/im/users/22348222/profile_pic/1441049651/original.jpg?aki_policy=profile_x_medium,"Temple Street, Boston, MA 02114, United States",Beacon Hill,42.36093112,-71.06397603,Apartment,Entire home/apt,2,1,0,1,Real Bed,157,0,225,0,2,80,strict,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Great location although not my favourite airbnb apartment
"
530983,https://www.airbnb.com/rooms/530983,73,91,https://a1.muscache.com/im/users/71783/profile_pic/1342801683/original.jpg?aki_policy=profile_x_medium,"Peverell St, Boston, MA 02125, United States",Dorchester,42.31418505,-71.06000715,House,Entire home/apt,9,2,4,4,Real Bed,175,500,200,10,19,93,strict,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Great place - as advertised! The home is a ~200 year old Victorian full of history and charm, and has the best views of the whole neighborhood - from the back windows on the second floor you can see the ocean. Very quiet area, but easy to get downtown to all the touristy stuff.  Little swingset for the kids in the back, too. Off-street parking was a real plus, and nearby restaurants (great Indian place around the corner) and CVS very helpful. Quick 10 minutes to the Savin Hill T line, but for our group of four, it was actually cheaper to take a 15-minute, $7.00 Uber to the downtown area. Sure beats driving and parking! The house itself was clean, clean, clean --and I am a clean freak so meeting my standards is no easy task. The place is also HUGE, and there is another rental up above in a separate condo (which was empty when we were there) so if you had a really large group you could rent the two separate parts of the home (each with own entrance) and probably fit 14 people! Beds were comfortable, and plenty of towels. The home is historic (except the modern kitchen and baths), so the floors are a little creaky and some of the plaster is showing its age, but that only added to the charm, in our opinion. Swank Properties folks jumped on all our questions and made check in and out a breeze. I''d stay with them again, here or at another property. Great service and communication!"
579605,https://www.airbnb.com/rooms/579605,73,91,https://a1.muscache.com/im/users/71783/profile_pic/1342801683/original.jpg?aki_policy=profile_x_medium,"Boston St, Boston, MA 02125, United States",Dorchester,42.32280314,-71.06184461,Apartment,Entire home/apt,4,1,2,2,Real Bed,125,500,150,10,10,93,strict,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Great sized apartment for 5 people which was very clean and in a great location. Host was always available to help out and answer any questions. Great place to stay!
1321422,https://www.airbnb.com/rooms/1321422,100,100,https://a2.muscache.com/im/users/6608084/profile_pic/1372474077/original.jpg?aki_policy=profile_x_medium,"Savin Hill Avenue, Dorchester, MA 02125, United States",Dorchester,42.30838012,-71.04694267,House,Private room,3,1,1,1,Real Bed,76,100,25,17,194,96,flexible,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,"Barney met U.S. and showed us around the entire house, including where they live. We were shown all the amenities and provided with advice on attractions, public transportation &a entertainment. The century plus house has so much character and is well maintained. The neighbourhood is very picturesque and quiet"
